Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Login,Chrome 114.0.0.0,,,2023-06-24 23:06:20,2023-06-24 23:08:00,1m - 39.904s,FAILED
,,,,,,,
Test Cases/SC-Login-Logout/TC01-login-success,Chrome 114.0.0.0,,,2023-06-24 23:06:20,2023-06-24 23:06:36,16.034s,PASSED
try,Chrome 114.0.0.0,,,2023-06-24 23:06:20,2023-06-24 23:06:36,15.675s,PASSED
Finally,Chrome 114.0.0.0,,,2023-06-24 23:06:36,2023-06-24 23:06:36,0.124s,PASSED
,,,,,,,
Test Cases/SC-Login-Logout/TC03-login-failed,Chrome 114.0.0.0,,,2023-06-24 23:06:36,2023-06-24 23:07:16,39.976s,PASSED
try,Chrome 114.0.0.0,,,2023-06-24 23:06:36,2023-06-24 23:07:16,39.709s,PASSED
Finally,Chrome 114.0.0.0,,,2023-06-24 23:07:16,2023-06-24 23:07:16,0.137s,PASSED
,,,,,,,
Test Cases/SC-Login-Logout/TC02-logout-success,Chrome 114.0.0.0,,,2023-06-24 23:07:16,2023-06-24 23:08:00,43.719s,FAILED
try,Chrome 114.0.0.0,,,2023-06-24 23:07:16,2023-06-24 23:08:00,43.467s,FAILED
Finally,Chrome 114.0.0.0,,,2023-06-24 23:08:00,2023-06-24 23:08:00,0.129s,PASSED
